admin_id,admin_name,January,February,March,April,May,June,July,August,September,October,November,December
939,Addis Ababa,0,0.000325454,0.013495496,0.03958001,0.106514591,0.232201954,0.291262951,0.222724525,0.088200582,0.004678536,0.001015901,0
940,Afar,0.033232092,0.006643586,0.008437577,0.020207848,0.043497398,0.072045272,0.114761569,0.147531797,0.167012941,0.171449208,0.131060726,0.084119986
941,Amhara,0.002330027,0.002549492,0.015367117,0.048559095,0.111605149,0.177380959,0.221393464,0.204134245,0.129020924,0.060487008,0.019887379,0.007285141
942,Beneshangul Gumu,0.007698574,0.004387442,0.010169797,0.02954662,0.061322607,0.092531089,0.140650051,0.186002221,0.194528483,0.161986439,0.081831404,0.029345274
943,Dire Dawa,0.008425066,0.027435433,0.049412338,0.078246053,0.120401392,0.13005299,0.164365761,0.171597789,0.130044471,0.080485938,0.033712594,0.005820172
944,Gambela,0.027179371,0.010099805,0.007579066,0.008064495,0.018158529,0.047229277,0.115501556,0.179648269,0.183302644,0.185456852,0.137862934,0.079917201
945,Hareri,0.00791084,0.011443674,0.023130741,0.056265979,0.12228615,0.152144092,0.163551382,0.146675015,0.123622661,0.109588243,0.062545667,0.020835556
946,Oromia,0.010140205,0.017152932,0.050516737,0.096670372,0.145506877,0.160068933,0.160977056,0.140464876,0.104128377,0.065735024,0.032035243,0.016603368
947,SNNPR,0.014510547,0.031833655,0.076870526,0.117624149,0.140573724,0.124205402,0.116853603,0.121393995,0.110766724,0.082906682,0.042565335,0.019895657
948,Somali,0.008093808,0.028435752,0.094628027,0.165316189,0.209279828,0.184920612,0.115538966,0.055286995,0.042981565,0.045768568,0.034580096,0.015169594
949,Tigray,0.002805578,0.000395856,0.002992997,0.009313986,0.046897295,0.134054584,0.222579286,0.258914199,0.189629751,0.092872854,0.028480379,0.011063236
